Drug_Name,SMILES
Nordefrin,CC(C(C1=CC(=C(C=C1)O)O)O)N
N-(phosphonomethyl)glycine trimethylsulfonium salt,C[S+](C)C.C(C(=O)[O-])NCP(=O)(O)O
octamethylcyclotetrasiloxane,C[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C
Safflower Oil,
"S-(N,N-diethylaminoethyl) isobutyl methylphosphothiolate",
Thiourea,C(=S)(N)N
Timolol,CC(C)(C)NCC(COC1=NSN=C1N2CCOCC2)O
troclosene,C1(=O)NC(=O)N(C(=O)N1Cl)Cl
Nitric Oxide,[N]=O
Mannitol,C(C(C(C(C(CO)O)O)O)O)O
Terbutaline,
Chlorpheniramine,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2
Raloxifene Hydrochloride,C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O.Cl
Malondialdehyde,C(C=O)C=O
Medroxyprogesterone Acetate,CC1CC2C(CCC3(C2CCC3(C(=O)C)OC(=O)C)C)C4(C1=CC(=O)CC4)C
"15-Hydroxy-11 alpha,9 alpha-(epoxymethano)prosta-5,13-dienoic Acid","CCCCCC(C=CC1C2CC(C1CC=CCCCC(=O)O)CO2)O
CCCCCC(C=CC1C2CC(C1CC=CCCCC(=O)O)CO2)O"
Gentamicins,CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC
Norethindrone,CC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34
Free Radicals,
Cyclosporine,
Ethinyl Estradiol,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)O
Tamoxifen,
Diethylstilbestrol,
Desogestrel,
Tadalafil,
Paclitaxel,
Zoledronic Acid,
Vitamin E,
Dexamethasone,
alcoholic prolamine solution,
Antipsychotic Agents,
Arteparon,
Calcium Gluconate,
Cephalosporins,C=C1CSC(N=C1C(=O)O)C(C(=O)O)NC(=O)CCCCC(C(=O)O)N
"Contraceptives, Oral",
"Contraceptives, Oral, Combined",
"Contraceptives, Oral, Hormonal",
"Contraceptives, Oral, Synthetic",
Cyproterone Acetate,CC(=O)C1(CCC2C1(CCC3C2C=C(C4=CC(=O)C5CC5C34C)Cl)C)OC(=O)C
Dalteparin,
Deamino Arginine Vasopressin,C1CC(N(C1)C(=O)C2CSSCCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)N
Diuretics,
drospirenone and ethinyl estradiol combination,
Ethinyl Estradiol-Norgestrel Combination,
GABA-B Receptor Agonists,
Hematinics,
Nelfinavir,CC1=C(C=CC=C1O)C(=O)NC(CSC2=CC=CC=C2)C(CN3CC4CCCCC4CC3C(=O)NC(C)(C)C)O
Phenothiazines,
Polyphosphates,
Progesterone Congeners,
Succinylcholine,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
Tranexamic Acid,C1CC(CCC1CN)C(=O)O
VACOP-B protocol,
"Heparin, Low-Molecular-Weight",
Dust,
"Asbestos, Serpentine",O.O[Si](O)(O)O.O[Si](O)(O)O.[Mg].[Mg].[Mg]
Quartz,O=[Si]=O
Sulfur Dioxide,O=S=O
Monocrotaline,CC1C(=O)OC2CCN3C2C(=CC3)COC(=O)C(C1(C)O)(C)O
2-chloroethyl ethyl sulfide,CCSCCCl
Cobalt,[Co]
diisononyl phthalate,CC(C)CCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCC(C)C
7-Ala-angiotensin (1-7),
ceric oxide,O=[Ce]=O
nickel chloride,Cl[Ni]Cl
Silicon,[Si]
"Asbestos, Crocidolite",O[Si](=O)O.O[Si](=O)O.O[Si](=O)O.O[Si](=O)O.O[Si](=O)O.O[Si](=O)O.O[Si](=O)O.O[Si](=O)O.[Na+].[Na+].[Mg+2].[Mg+2].[Mg+2].[Fe+3].[Fe+3]
sodium bichromate,[O-][Cr](=O)(=O)O[Cr](=O)(=O)[O-].[Na+].[Na+]
arsenite,[O-][As]([O-])[O-]
"2-(1-carboxy-2-(3-(3,5-dichlorobenzyl)-3H-imidazol-4-yl)ethylamino)-4-methylpentanoic acid",CC(C)CC(C(=O)O)NC(CC1=CN=CN1CC2=CC(=CC(=C2)Cl)Cl)C(=O)O
Soot,
cobaltous chloride,[Cl-].[Cl-].[Co+2]
chromium hexavalent ion,[Cr+6]
"Nanotubes, Carbon",[C]
Formaldehyde,C=O
1-nitropyrene,C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)[N+](=O)[O-]
Sodium Nitrite,N(=O)[O-].[Na+]
sodium arsenite,[O-][As]=O.[Na+]
Reactive Oxygen Species,
chrysene,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43
nickel monoxide,[O-2].[Ni+2]
titanium dioxide,O=[Ti]=O
Air Pollutants,
Radon,[Rn]
Beryllium,[Be]
ammonium perchlorate,[NH4+].[O-]Cl(=O)(=O)=O
Copper Sulfate,[O-]S(=O)(=O)[O-].[Cu+2]
Iron,[Fe]
"N-(1,3-dimethylbutyl)-N'-phenyl-p-phenylenediamine quinone",CC(C)CC(C)NC1=CC(=O)C(=CC1=O)NC2=CC=CC=C2
silicon carbide,[C-]#[Si+]
neodymium oxide,[O-2].[O-2].[O-2].[Nd+3].[Nd+3]
Polypropylenes,
Coal,
bleomycetin,CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCCNCCCCN)O
"Air Pollutants, Occupational",
RCF-1 fiber,
methyl isocyanate,CN=C=O
Minocycline,CN(C)C1C2CC3CC4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C
Carboplatin,C1CC(C1)(C(=O)O)C(=O)O.[NH2-].[NH2-].[Pt+2]
Environmental Pollutants,
Polystyrenes,
Benzene,C1=CC=CC=C1
Ovalbumin,
trofosfamide,C1CN(P(=O)(OC1)N(CCCl)CCCl)CCCl
vermiculite,O.[OH-].[O].[O-][Si](=O)[O-].[Mg].[Al].[Fe]
Aldicarb,CC(C)(C=NOC(=O)NC)SC
DDT,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl
Hexachlorocyclohexane,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl
"Hydrocarbons, Chlorinated",
Pesticides,
Antigens,
Propylthiouracil,CCCC1=CC(=O)NC(=S)N1
"amphotericin B, deoxycholate drug combination",CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O.CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+]
Erlotinib Hydrochloride,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC.Cl
Mineral Oil,
oligo(2-(2-ethoxy)-ethoxyethyl)guanidinium-chloride,
Phytol,CC(C)CCCC(C)CCCC(C)CCCC(=CCO)C
zinc chromate,[O-][Cr](=O)(=O)[O-].[Zn+2]
Silicates,
Carbon Fiber,
manganese dioxide,O=[Mn]=O
"Trimethoprim, Sulfamethoxazole Drug Combination",CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N.COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N
Tripelennamine,CN(C)CCN(CC1=CC=CC=C1)C2=CC=CC=N2
Interferon-alpha,
Silicon Compounds,
