Drug_Name,Pattern,PubChem_ID,Source,norm,SMILES,Label_ILD,Label_Edema,Label_Pleural,Label_Embolism
Aconitine,"XII.l
                
XII - Cardiovascular involvement / toxicity

                    XII.l - Cardiac arrhythmias or dysrhythmias (AF, VT, VF, TdP)",245005.0,Pneumotox_only,aconitine,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,0,0,0,0
Acrylfentanyl,,10314851.0,Pneumotox_only,acrylfentanyl,C=CC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,0,0,0,0
Acyclovir,"I.b
                
I - Interstitial/parenchymal lung disease

                    I.b - Pneumonitis (ILD)                


                  V.a
                
V - Pleural and/or pericardial involvement

                    V.a - Pleural effusion (uni- or bilateral) (can accompany DI-LDs)",135398513.0,Both,acyclovir,Nc1nc(=O)c2ncn(COCCO)c2[nH]1,1,0,1,0
Adagrasib,"I.a
                
I - Interstitial/parenchymal lung disease

                    I.a - Pneumonitis (ILD), acute and/or severe (may cause ARDS)                


                  I.b
                
I - Interstitial/parenchymal lung disease

                    I.b - Pneumonitis (ILD)",138611145.0,Pneumotox_only,adagrasib,C=C(F)C(=O)N1CCN(c2nc(OCC3CCCN3C)nc3c2CCN(c2cccc4cccc(Cl)c24)C3)CC1CC#N,1,0,0,0
Adenosine,"IV.a
                
IV - Airway involvement

                    IV.a - Bronchospasm - Wheezing - Asthma                


                  IV.f
                
IV - Airway involvement

                    IV.f - Severe or catastrophic bronchospasm or asthma attack (can be fatal)                


                  XI.b
                
XI - Miscellaneous

                    XI.b - Chest pain (acute or subacute), lone or prominent                


                  XII.m
                
XII - Cardiovascular involvement / toxicity

                    XII.m - Cardiac- cardiorespiratory/pulmonary arrest",60961.0,Both,adenosine,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,0,0,0,0
Adenosine 5'-triphosphate,"XI.b
                
XI - Miscellaneous

                    XI.b - Chest pain (acute or subacute), lone or prominent",5957.0,Pneumotox_only,adenosine 5'-triphosphate,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,0,0,0,0
Afatinib,"I.b
                
I - Interstitial/parenchymal lung disease

                    I.b - Pneumonitis (ILD)                


                  IV.c
                
IV - Airway involvement

                    IV.c - Obliterative bronchiolitis (a pattern consistent with) (see also IVn, XVx)                


                  V.a
                
V - Pleural and/or pericardial involvement

                    V.a - Pleural effusion (uni- or bilateral) (can accompany DI-LDs)                


                  X.j
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.j - Myopathy-Myositis-Polymyositis (see also under Xba)                


                  XII.p
                
XII - Cardiovascular involvement / toxicity

                    XII.p - QTc prolongation                


                  XV.z
                
XV - Pathology

                    XV.z - Path: Obliterative (constrictive) bronchiolitis (see also IVc, IVn)                


                  XVI.b
                
XVI - Imaging

                    XVI.b - Imaging: Ground-glass opacities (GGO) / shadowing",10184653.0,Both,afatinib,CN(C)CC=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC1CCOC1,1,0,1,0
Afloqualone,"XXIV.i
                
XXIV - Veterinary medicine

                    XXIV.i - Veterinary: Respiratory/Ventilatory depression",2040.0,Pneumotox_only,afloqualone,Cc1ccccc1-n1c(CF)nc2ccc(N)cc2c1=O,0,0,0,0
Ajmaline,"XII.l
                
XII - Cardiovascular involvement / toxicity

                    XII.l - Cardiac arrhythmias or dysrhythmias (AF, VT, VF, TdP)",6100671.0,Pneumotox_only,ajmaline,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,0,0,0,0
Alectinib,"I.b
                
I - Interstitial/parenchymal lung disease

                    I.b - Pneumonitis (ILD)                


                  I.d
                
I - Interstitial/parenchymal lung disease

                    I.d - Organizing pneumonia pattern (an area or areas of consolidation on imaging)                


                  I.h
                
I - Interstitial/parenchymal lung disease

                    I.h - Subclinical pulmonary infiltrates/ILD                


                  I.ao
                
I - Interstitial/parenchymal lung disease

                    I.ao - Pulmonary infiltrates                


                  V.a
                
V - Pleural and/or pericardial involvement

                    V.a - Pleural effusion (uni- or bilateral) (can accompany DI-LDs)                


                  XII.c
                
XII - Cardiovascular involvement / toxicity

                    XII.c - Pericardial effusion (w/wo tamponade)                


                  XV.a
                
XV - Pathology

                    XV.a - Path: NSIP-cellular pattern (see also Ia, Ib)                


                  XIX.a
                
XIX - Cytological, biochemical features of/in BAL, pleural fluid or FNA

                    XIX.a - BAL: An excess proportion of lymphocytes                


                  XXI.e
                
XXI - Rechallenge data

                    XXI.e - Rechallenge may not necessarily lead to relapse of AE/ILD",49806720.0,Both,alectinib,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,1,0,1,0
Alginate,"X.f
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.f - Anaphylaxis-Anaphylactoid reaction (can be fatal)",91666324.0,Pneumotox_only,alginate,O=C([O-])C1OC(O)C(O)C(O)C1O,0,0,0,0
Aliskiren,"VIII.a
                
VIII - Central-large-upper airway (incl. pharyngeal-nasal) involvement

                    VIII.a - Angioedema (may cause UAO, asphyxia and death)",5493444.0,Both,aliskiren,COCCCOc1cc(CC(CC(N)C(O)CC(C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC,0,0,0,0
Allopurinol,"VI.d
                
VI - Pulmonary vasculopathies

                    VI.d - Pulmonary vasculitis or capillaritis                


                  VIII.a
                
VIII - Central-large-upper airway (incl. pharyngeal-nasal) involvement

                    VIII.a - Angioedema (may cause UAO, asphyxia and death)                


                  X.a
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.a - DRES syndrome - DRESS-like reaction                


                  X.m
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.m - Vascultis (pulmonary, extrathoracic or systemic)-ANCA status unknown or negative)                


                  X.n
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.n - Tumor lysis syndrome (TLS)                


                  X.s
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.s - Vasculitis, pulmonary (w/wo AH), extrapulmonary, systemic: ANCA-positive                


                  XV.ac
                
XV - Pathology

                    XV.ac - Path: Pulmonary vasculitis other than capillaritis",135401907.0,Both,allopurinol,O=c1[nH]cnc2[nH]ncc12,0,0,0,1
Almitrine,"XI.d
                
XI - Miscellaneous

                    XI.d - Metabolic acidosis (incl. lactic acidosis/-gap). May cause hyperpnea/dyspnea",33887.0,Pneumotox_only,almitrine,C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1,0,0,0,0
Almonertinib,"I.b
                
I - Interstitial/parenchymal lung disease

                    I.b - Pneumonitis (ILD)",121280087.0,Pneumotox_only,almonertinib,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C4CC4)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,1,0,0,0
Alpelisib,"I.a
                
I - Interstitial/parenchymal lung disease

                    I.a - Pneumonitis (ILD), acute and/or severe (may cause ARDS)",56649450.0,Both,alpelisib,Cc1nc(NC(=O)N2CCCC2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,1,0,0,0
Alprazolam,"IX.d
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.d - Respiratory failure from ventilatory depression (due to neuromuscular blockade/paralysis)",2118.0,Both,alprazolam,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,0,0,0,0
Alprenolol,"IV.a
                
IV - Airway involvement

                    IV.a - Bronchospasm - Wheezing - Asthma",2119.0,Pneumotox_only,alprenolol,C=CCc1ccccc1OCC(O)CNC(C)C,0,0,0,0
Amantadine,"II.a
                
II - Pulmonary edema - Acute lung injury - ARDS

                    II.a - Pulmonary edema, noncardiogenic (NCPE)                


                  II.b
                
II - Pulmonary edema - Acute lung injury - ARDS

                    II.b - ARDS - Acute lung injury                


                  XII.m
                
XII - Cardiovascular involvement / toxicity

                    XII.m - Cardiac- cardiorespiratory/pulmonary arrest                


                  XV.f
                
XV - Pathology

                    XV.f - Path: Diffuse alveolar damage (DAD-pattern) (see also IL)",2130.0,Both,amantadine,NC12CC3CC(CC(C3)C1)C2,0,1,0,0
Ambrisentan,"I.y
                
I - Interstitial/parenchymal lung disease

                    I.y - Progression, acceleration or exacerbation of preexisting ILD/fibrosis",197712.0,Both,ambrisentan,COC(c1ccccc1)(c1ccccc1)C(Oc1nc(C)cc(C)n1)C(=O)O,1,0,0,0
Amifostine,"X.f
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.f - Anaphylaxis-Anaphylactoid reaction (can be fatal)",2141.0,Both,amifostine,NCCCNCCSP(=O)(O)O,0,0,0,0
Amikacin,"X.f
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.f - Anaphylaxis-Anaphylactoid reaction (can be fatal)",37768.0,Both,amikacin,NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(N)C1O,0,0,0,0
Aminoglutethimide,"I.c
                
I - Interstitial/parenchymal lung disease

                    I.c - Eosinophilic pneumonia (pulmonary infiltrates and eosinophilia)                


                  III.a
                
III - Pulmonary/alveolar./airway hemorrhage/bleeding

                    III.a - Alveolar hemorrhage (AH), diffuse AH (DAH)",2145.0,Both,aminoglutethimide,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,1,0,0,0
Aminopyridine,"VI.b
                
VI - Pulmonary vasculopathies

                    VI.b - Pulmonary arterial hypertension",10439.0,Pneumotox_only,aminopyridine,Nc1ccccn1,0,0,0,1
Aminorex,"VI.b
                
VI - Pulmonary vasculopathies

                    VI.b - Pulmonary arterial hypertension                


                  XV.al
                
XV - Pathology

                    XV.al - Path: Pulmonary hypertension incl. angiomatoid vasculopathy",16630.0,Pneumotox_only,aminorex,N=C1NCC(c2ccccc2)O1,0,0,0,1
Amiodarone,"I.a
                
I - Interstitial/parenchymal lung disease

                    I.a - Pneumonitis (ILD), acute and/or severe (may cause ARDS)                


                  I.b
                
I - Interstitial/parenchymal lung disease

                    I.b - Pneumonitis (ILD)                


                  I.c
                
I - Interstitial/parenchymal lung disease

                    I.c - Eosinophilic pneumonia (pulmonary infiltrates and eosinophilia)                


                  I.d
                
I - Interstitial/parenchymal lung disease

                    I.d - Organizing pneumonia pattern (an area or areas of consolidation on imaging)                


                  I.e
                
I - Interstitial/parenchymal lung disease

                    I.e - Acute eosinophilic pneumonia (AEP)                


                  I.f
                
I - Interstitial/parenchymal lung disease

                    I.f - Acute fibrinous organizing pneumonia (AFOP)                


                  I.g
                
I - Interstitial/parenchymal lung disease

                    I.g - Pulmonary fibrosis                


                  I.h
                
I - Interstitial/parenchymal lung disease

                    I.h - Subclinical pulmonary infiltrates/ILD                


                  I.k
                
I - Interstitial/parenchymal lung disease

                    I.k - Lung nodule or nodules                


                  I.l
                
I - Interstitial/parenchymal lung disease

                    I.l - Diffuse alveolar damage (DAD) (see alsoo under IIb and XVf)                


                  I.s
                
I - Interstitial/parenchymal lung disease

                    I.s - A mass or masses                


                  I.u
                
I - Interstitial/parenchymal lung disease

                    I.u - Relapsing or migrating pneumonitis/pneumonia (see also Id)                


                  I.w
                
I - Interstitial/parenchymal lung disease

                    I.w - Rapidly progressive ILD/pulmonary fibrosis (Hamman-Rich syndrome)                


                  I.z
                
I - Interstitial/parenchymal lung disease

                    I.z - An area or areas of consolidation                


                  I.aa
                
I - Interstitial/parenchymal lung disease

                    I.aa - Delayed ILD, -pneumonitis, -fibrosis                


                  I.ao
                
I - Interstitial/parenchymal lung disease

                    I.ao - Pulmonary infiltrates                


                  I.at
                
I - Interstitial/parenchymal lung disease

                    I.at - Amiodarone pulmonary toxicity - Amiodarone lung                


                  I.ax
                
I - Interstitial/parenchymal lung disease

                    I.ax - Chronic pneumonitis                


                  I.ay
                
I - Interstitial/parenchymal lung disease

                    I.ay - Unilateral interstitial lung disease                


                  II.b
                
II - Pulmonary edema - Acute lung injury - ARDS

                    II.b - ARDS - Acute lung injury                


                  II.l
                
II - Pulmonary edema - Acute lung injury - ARDS

                    II.l - Postoperative ARDS                


                  III.a
                
III - Pulmonary/alveolar./airway hemorrhage/bleeding

                    III.a - Alveolar hemorrhage (AH), diffuse AH (DAH)                


                  III.c
                
III - Pulmonary/alveolar./airway hemorrhage/bleeding

                    III.c - Hemoptysis                


                  IV.a
                
IV - Airway involvement

                    IV.a - Bronchospasm - Wheezing - Asthma                


                  IV.d
                
IV - Airway involvement

                    IV.d - Cough (lone)                


                  IV.r
                
IV - Airway involvement

                    IV.r - Airway pigmentation (black, bluish, petechial)                


                  V.a
                
V - Pleural and/or pericardial involvement

                    V.a - Pleural effusion (uni- or bilateral) (can accompany DI-LDs)                


                  V.c
                
V - Pleural and/or pericardial involvement

                    V.c - Pleural thickening - Fibrothorax                


                  V.d
                
V - Pleural and/or pericardial involvement

                    V.d - Pleural/pericardial effusion, ANA positive (DI lupus)                


                  V.t
                
V - Pleural and/or pericardial involvement

                    V.t - The apical cap                


                  VI.a
                
VI - Pulmonary vasculopathies

                    VI.a - Pulmonary embolism - Venous thrombosis/thromboembolism                


                  VI.i
                
VI - Pulmonary vasculopathies

                    VI.i - Acute pulmonary hypertension                


                  VIII.a
                
VIII - Central-large-upper airway (incl. pharyngeal-nasal) involvement

                    VIII.a - Angioedema (may cause UAO, asphyxia and death)                


                  IX.a
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.a - Diaphragm/inspiratory muscle weakness/paralysis (w/wo ARF)                


                  IX.d
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.d - Respiratory failure from ventilatory depression (due to neuromuscular blockade/paralysis)                


                  IX.ai
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.ai - Acute respiratory failure (hypoxemia, acidosis) from myxedema (-coma)                


                  X.d
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.d - Lupus - Lupus syndrome (see also Vd)                


                  X.f
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.f - Anaphylaxis-Anaphylactoid reaction (can be fatal)                


                  X.q
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.q - Systemic inflammatory response                


                  XI.c
                
XI - Miscellaneous

                    XI.c - Pleuritic chest pain                


                  XI.f
                
XI - Miscellaneous

                    XI.f - Bluish, pseudocyanotic skin discoloration                


                  XI.bq
                
XI - Miscellaneous

                    XI.bq - Platypnea-orthodeoxia                


                  XII.a
                
XII - Cardiovascular involvement / toxicity

                    XII.a - Left or biventricular dysfunction/failure                


                  XII.c
                
XII - Cardiovascular involvement / toxicity

                    XII.c - Pericardial effusion (w/wo tamponade)                


                  XII.e
                
XII - Cardiovascular involvement / toxicity

                    XII.e - Takotsubo (stress) cardiomyopathy                


                  XII.l
                
XII - Cardiovascular involvement / toxicity

                    XII.l - Cardiac arrhythmias or dysrhythmias (AF, VT, VF, TdP)                


                  XII.n
                
XII - Cardiovascular involvement / toxicity

                    XII.n - Cardiovascular collapse - Cardiogenic shock - Hypotension                


                  XII.p
                
XII - Cardiovascular involvement / toxicity

                    XII.p - QTc prolongation                


                  XII.t
                
XII - Cardiovascular involvement / toxicity

                    XII.t - Torsades de pointe                


                  XII.af
                
XII - Cardiovascular involvement / toxicity

                    XII.af - Coronary vasospasm - Vasospastic angina                


                  XII.au
                
XII - Cardiovascular involvement / toxicity

                    XII.au - Heart failure (thyrotoxicosis-, thyroid storm-mediated)                


                  XV.a
                
XV - Pathology

                    XV.a - Path: NSIP-cellular pattern (see also Ia, Ib)                


                  XV.b
                
XV - Pathology

                    XV.b - Path: Eosinophilic pneumonia (subacute or acute)  (see also Ic)                


                  XV.c
                
XV - Pathology

                    XV.c - Path: Organizing pneumonia (OP/BOOP) pattern (see also Id)                


                  XV.d
                
XV - Pathology

                    XV.d - Path: Acute fibrinous organizing pneumonia (AFOP-pattern) (see also If)                


                  XV.f
                
XV - Pathology

                    XV.f - Path: Diffuse alveolar damage (DAD-pattern) (see also IL)                


                  XV.g
                
XV - Pathology

                    XV.g - Path: Alveolar hemorrhage (see also IIIa)                


                  XV.h
                
XV - Pathology

                    XV.h - Path: NSIP-fibrotic pattern                


                  XV.i
                
XV - Pathology

                    XV.i - Path: Pneumocyte atypia (reactive epithelial cells) (a.k.a. the ""Napoleon Hat"" sign)                


                  XV.j
                
XV - Pathology

                    XV.j - Path: Pulmonary fibrosis (UIP-pattern)                


                  XV.k
                
XV - Pathology

                    XV.k - Path: Desquamative interstitial pneumonia (DIP-pattern)                


                  XV.m
                
XV - Pathology

                    XV.m - Path: Lymphoid hyperplasia (including nodular- or a lymphocytic interstitial pneumonia pattern)                


                  XV.o
                
XV - Pathology

                    XV.o - Path: Endogenous lipoid pneumonia (phospholipidosis)                


                  XV.r
                
XV - Pathology

                    XV.r - Path: Smudged geographic necrosis                


                  XV.ao
                
XV - Pathology

                    XV.ao - Path: Pleuritis, pleural fibrosis                


                  XV.bt
                
XV - Pathology

                    XV.bt - Path: Histiocytic proliferation                


                  XVI.b
                
XVI - Imaging

                    XVI.b - Imaging: Ground-glass opacities (GGO) / shadowing                


                  XVI.i
                
XVI - Imaging

                    XVI.i - Imaging: An area or areas of involvement with a recognizable anatomic distribution                


                  XVI.j
                
XVI - Imaging

                    XVI.j - Imaging: Wandering (migratory) pulmonary opacities                


                  XVI.n
                
XVI - Imaging

                    XVI.n - Imaging: Intralobular septal thickening - Crazy paving                


                  XVI.s
                
XVI - Imaging

                    XVI.s - Imaging: An area or areas of involvement with high attenuation numbers or metallic density                


                  XVI.w
                
XVI - Imaging

                    XVI.w - Imaging: Lung nodule or nodules                


                  XVI.aa
                
XVI - Imaging

                    XVI.aa - Imaging: Nodules, mass or masses with a central area of low attenuation (see also under XVIaa)                


                  XVI.ab
                
XVI - Imaging

                    XVI.ab - Imaging: Cavitating/cavitary lung nodule, mass or nodules (see also Iq, XIs, XIIi, XVIaa and XVIIp)                


                  XVI.ay
                
XVI - Imaging

                    XVI.ay - Imaging: Asymmetrical, predominantly unilateral involvement                


                  XVI.az
                
XVI - Imaging

                    XVI.az - Imaging: Solitary pulmonary nodule                


                  XVI.bj
                
XVI - Imaging

                    XVI.bj - Imaging: Atelectasis (a combination of increased density and volume loss. Typically lobar)                


                  XVI.bq
                
XVI - Imaging

                    XVI.bq - Imaging: A pattern consistent with pleuroparenchymal fibroelastosis                


                  XVI.bt
                
XVI - Imaging

                    XVI.bt - Imaging: A subsolid lung nodule or nodules                


                  XVI.bx
                
XVI - Imaging

                    XVI.bx - Imaging: Waxing and waning nodules                


                  XVI.ca
                
XVI - Imaging

                    XVI.ca - Imaging: Disseminated patchy pulmonary opacities                


                  XVII.e
                
XVII - Infections & related conditions

                    XVII.e - Pneumocystis jiroveci pneumonia                


                  XVIII.b
                
XVIII - Distinctive patterns - 'Eye-catchers'

                    XVIII.b - Eye catcher: Electron-dense area or areas of consolidation on unenhanced chest CT                


                  XVIII.j
                
XVIII - Distinctive patterns - 'Eye-catchers'

                    XVIII.j - Eye-catcher: Avid lung uptake on 18F-PET-CT                


                  XVIII.k
                
XVIII - Distinctive patterns - 'Eye-catchers'

                    XVIII.k - Eye-catcher: An electron-dense liver on unenhanced CT                


                  XVIII.p
                
XVIII - Distinctive patterns - 'Eye-catchers'

                    XVIII.p - Eye-catcher: An electron-dense ('white') thyroid                


                  XIX.a
                
XIX - Cytological, biochemical features of/in BAL, pleural fluid or FNA

                    XIX.a - BAL: An excess proportion of lymphocytes                


                  XIX.b
                
XIX - Cytological, biochemical features of/in BAL, pleural fluid or FNA

                    XIX.b - BAL: An excess proportion of neutrophils                


                  XIX.c
                
XIX - Cytological, biochemical features of/in BAL, pleural fluid or FNA

                    XIX.c - BAL: An excess proportion of eosinophils                


                  XIX.e
                
XIX - Cytological, biochemical features of/in BAL, pleural fluid or FNA

                    XIX.e - BAL: Stainable iron in macrophages                


                  XIX.f
                
XIX - Cytological, biochemical features of/in BAL, pleural fluid or FNA

                    XIX.f - BAL: Foamy macrophages                


                  XIX.m
                
XIX - Cytological, biochemical features of/in BAL, pleural fluid or FNA

                    XIX.m - BAL: A normal cell differential                


                  XIX.p
                
XIX - Cytological, biochemical features of/in BAL, pleural fluid or FNA

                    XIX.p - BAL: Lamellar bodies in AM on EM",2157.0,Both,amiodarone,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,1,1,1,1
Amitraz,"IX.d
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.d - Respiratory failure from ventilatory depression (due to neuromuscular blockade/paralysis)",36324.0,Pneumotox_only,amitraz,Cc1ccc(N=CN(C)C=Nc2ccc(C)cc2C)c(C)c1,0,0,0,0
