Drug_Name,Pattern,PubChem_ID,Source,norm,SMILES,Label_ILD,Label_Edema,Label_Pleural,Label_Embolism,DrugBank_ID,KEGG_ID
Almitrine,"XI.d
                
XI - Miscellaneous

                    XI.d - Metabolic acidosis (incl. lactic acidosis/-gap). May cause hyperpnea/dyspnea",33887.0,Pneumotox_only,almitrine,C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1,0,0,0,0,,
Alprazolam,"IX.d
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.d - Respiratory failure from ventilatory depression (due to neuromuscular blockade/paralysis)",2118.0,Both,alprazolam,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,0,0,0,0,,
Alprenolol,"IV.a
                
IV - Airway involvement

                    IV.a - Bronchospasm - Wheezing - Asthma",2119.0,Pneumotox_only,alprenolol,C=CCc1ccccc1OCC(O)CNC(C)C,0,0,0,0,,
Amifostine,"X.f
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.f - Anaphylaxis-Anaphylactoid reaction (can be fatal)",2141.0,Both,amifostine,NCCCNCCSP(=O)(O)O,0,0,0,0,,
Amikacin,"X.f
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.f - Anaphylaxis-Anaphylactoid reaction (can be fatal)",37768.0,Both,amikacin,NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(N)C1O,0,0,0,0,,
Amitraz,"IX.d
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.d - Respiratory failure from ventilatory depression (due to neuromuscular blockade/paralysis)",36324.0,Pneumotox_only,amitraz,Cc1ccc(N=CN(C)C=Nc2ccc(C)cc2C)c(C)c1,0,0,0,0,,
"Aniline, p-chloro-","XIV.a
                
XIV - Hemoglobinopathies - Abnormal hemoglobin states (acquired)

                    XIV.a - Methemoglobinemia",7812.0,Pneumotox_only,"aniline, p-chloro-",Nc1ccc(Cl)cc1,0,0,0,0,,
Bacitracin,"X.f
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.f - Anaphylaxis-Anaphylactoid reaction (can be fatal)",10909430.0,Pneumotox_only,bacitracin,CCC(C)C(N)C1=NC(C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(C(=O)NC2CCCCNC(=O)C(CC(N)=O)NC(=O)C(CC(=O)O)NC(=O)C(Cc3c[nH]cn3)NC(=O)C(Cc3ccccc3)NC(=O)C(C(C)CC)NC(=O)C(CCCN)NC2=O)C(C)CC)CS1,0,0,0,0,,
Baclofen,"VIII.e
                
VIII - Central-large-upper airway (incl. pharyngeal-nasal) involvement

                    VIII.e - Laryngospasm (a.k.a. laryngismus)                


                  VIII.h
                
VIII - Central-large-upper airway (incl. pharyngeal-nasal) involvement

                    VIII.h - Vocal cord dysfunction, adduction, closure, injury                


                  IX.d
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.d - Respiratory failure from ventilatory depression (due to neuromuscular blockade/paralysis)                


                  IX.e
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.e - Disordered breathing pattern incl. Cheyne-Stokes respiration                


                  IX.f
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.f - Hiccup                


                  IX.p
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.p - Disordered breathing during sleep - Sleep apnea                


                  IX.u
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.u - Central sleep apnea                


                  XII.f
                
XII - Cardiovascular involvement / toxicity

                    XII.f - Cardiomyopathy (acute, subacute, chronic)                


                  XII.m
                
XII - Cardiovascular involvement / toxicity

                    XII.m - Cardiac- cardiorespiratory/pulmonary arrest",2284.0,Both,baclofen,NCC(CC(=O)O)c1ccc(Cl)cc1,0,0,0,0,,
Benazepril,"VIII.a
                
VIII - Central-large-upper airway (incl. pharyngeal-nasal) involvement

                    VIII.a - Angioedema (may cause UAO, asphyxia and death)",5362124.0,Both,benazepril,CCOC(=O)C(CCc1ccccc1)NC1CCc2ccccc2N(CC(=O)O)C1=O,0,0,0,0,,
Bendamustine,"IX.h
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.h - Dyspnea, unexplained otherwise                


                  XVII.b
                
XVII - Infections & related conditions

                    XVII.b - Opportunistic pulmonary/systemic infections                


                  XVII.e
                
XVII - Infections & related conditions

                    XVII.e - Pneumocystis jiroveci pneumonia                


                  XVII.ag
                
XVII - Infections & related conditions

                    XVII.ag - CMV pneumonitis (reactivation)",65628.0,Both,bendamustine,Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21,0,0,0,0,,
Bentazone,"IX.c
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.c - Chest wall muscle rigidity - Stiff/wooden chest                


                  IX.k
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.k - Trismus (lockjaw)                


                  XI.r
                
XI - Miscellaneous

                    XI.r - Death following exposure or poisoning                


                  XII.m
                
XII - Cardiovascular involvement / toxicity

                    XII.m - Cardiac- cardiorespiratory/pulmonary arrest",2328.0,Pneumotox_only,bentazone,CC(C)N1C(=O)c2ccccc2NS1(=O)=O,0,0,0,0,,
Benzalkonium chloride,"IV.a
                
IV - Airway involvement

                    IV.a - Bronchospasm - Wheezing - Asthma                


                  X.f
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.f - Anaphylaxis-Anaphylactoid reaction (can be fatal)",3014024.0,Pneumotox_only,benzalkonium chloride,CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,0,0,0,0,,
Benzonatate,"IV.a
                
IV - Airway involvement

                    IV.a - Bronchospasm - Wheezing - Asthma                


                  XI.d
                
XI - Miscellaneous

                    XI.d - Metabolic acidosis (incl. lactic acidosis/-gap). May cause hyperpnea/dyspnea                


                  XII.l
                
XII - Cardiovascular involvement / toxicity

                    XII.l - Cardiac arrhythmias or dysrhythmias (AF, VT, VF, TdP)                


                  XII.m
                
XII - Cardiovascular involvement / toxicity

                    XII.m - Cardiac- cardiorespiratory/pulmonary arrest",7699.0,Both,benzonatate,CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,0,0,0,0,,
Benzonitrile,"XIV.a
                
XIV - Hemoglobinopathies - Abnormal hemoglobin states (acquired)

                    XIV.a - Methemoglobinemia",7505.0,Pneumotox_only,benzonitrile,N#Cc1ccccc1,0,0,0,0,,
Benzylbenzoate,"X.f
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.f - Anaphylaxis-Anaphylactoid reaction (can be fatal)",2345.0,Pneumotox_only,benzylbenzoate,O=C(OCc1ccccc1)c1ccccc1,0,0,0,0,,
Betahistine,"IV.a
                
IV - Airway involvement

                    IV.a - Bronchospasm - Wheezing - Asthma",2366.0,Both,betahistine,CNCCc1ccccn1,0,0,0,0,,
Bezafibrate,"X.j
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.j - Myopathy-Myositis-Polymyositis (see also under Xba)",39042.0,Both,bezafibrate,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,0,0,0,0,,
Bisoprolol,"IV.a
                
IV - Airway involvement

                    IV.a - Bronchospasm - Wheezing - Asthma                


                  XII.af
                
XII - Cardiovascular involvement / toxicity

                    XII.af - Coronary vasospasm - Vasospastic angina",2405.0,Both,bisoprolol,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,0,0,0,0,,
Bromadiolone,,54680085.0,Pneumotox_only,bromadiolone,O=c1c(C(CC(O)c2ccc(-c3ccc(Br)cc3)cc2)c2ccccc2)c(O)oc2ccccc12,0,0,0,0,,
Butyrfentanyl,"III.a
                
III - Pulmonary/alveolar./airway hemorrhage/bleeding

                    III.a - Alveolar hemorrhage (AH), diffuse AH (DAH)                


                  III.c
                
III - Pulmonary/alveolar./airway hemorrhage/bleeding

                    III.c - Hemoptysis                


                  IX.d
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.d - Respiratory failure from ventilatory depression (due to neuromuscular blockade/paralysis)",621174.0,Pneumotox_only,butyrfentanyl,CCCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,0,0,0,0,,
Caffeine,"XI.r
                
XI - Miscellaneous

                    XI.r - Death following exposure or poisoning                


                  XII.g
                
XII - Cardiovascular involvement / toxicity

                    XII.g - Coronary artery disease (acute) - Myocardial ischemia/infarction                


                  XII.l
                
XII - Cardiovascular involvement / toxicity

                    XII.l - Cardiac arrhythmias or dysrhythmias (AF, VT, VF, TdP)                


                  XII.n
                
XII - Cardiovascular involvement / toxicity

                    XII.n - Cardiovascular collapse - Cardiogenic shock - Hypotension",2519.0,Both,caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,0,0,0,0,,
Camphor,"IX.d
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.d - Respiratory failure from ventilatory depression (due to neuromuscular blockade/paralysis)                


                  IX.i
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.i - Respiratory arrest - Apnea                


                  X.u
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.u - Multiple organ dysfunction/failure (MODS/MOF)                


                  XII.l
                
XII - Cardiovascular involvement / toxicity

                    XII.l - Cardiac arrhythmias or dysrhythmias (AF, VT, VF, TdP)                


                  XII.m
                
XII - Cardiovascular involvement / toxicity

                    XII.m - Cardiac- cardiorespiratory/pulmonary arrest",2537.0,Pneumotox_only,camphor,CC12CCC(CC1=O)C2(C)C,0,0,0,0,,
Candesartan,"VIII.a
                
VIII - Central-large-upper airway (incl. pharyngeal-nasal) involvement

                    VIII.a - Angioedema (may cause UAO, asphyxia and death)",2540.0,Both,candesartan,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,0,0,0,0,,
Cangrelor,"IX.h
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.h - Dyspnea, unexplained otherwise",9854012.0,Both,cangrelor,CSCCNc1nc(SCCC(F)(F)F)nc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)C(Cl)(Cl)P(=O)(O)O)C(O)C1O,0,0,0,0,,
Capsaicin,"IV.q
                
IV - Airway involvement

                    IV.q - Reactive airway dysfunction syndrome (RADS)                


                  XII.af
                
XII - Cardiovascular involvement / toxicity

                    XII.af - Coronary vasospasm - Vasospastic angina",1548943.0,Both,capsaicin,COc1cc(CNC(=O)CCCCC=CC(C)C)ccc1O,0,0,0,0,,
Carbapenems,,134085.0,Pneumotox_only,carbapenems,O=C(O)C1=CCC2CC(=O)N12,0,0,0,0,,
Carisoprodol,"XI.r
                
XI - Miscellaneous

                    XI.r - Death following exposure or poisoning",2576.0,Both,carisoprodol,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,0,0,0,0,,
Carteolol,"IV.a
                
IV - Airway involvement

                    IV.a - Bronchospasm - Wheezing - Asthma",2583.0,Both,carteolol,CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2,0,0,0,0,,
Cefazolin,"IV.f
                
IV - Airway involvement

                    IV.f - Severe or catastrophic bronchospasm or asthma attack (can be fatal)                


                  X.f
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.f - Anaphylaxis-Anaphylactoid reaction (can be fatal)",33255.0,Both,cefazolin,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)C(NC(=O)Cn4cnnn4)C3SC2)s1,0,0,0,0,,
Cefotetan,"X.f
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.f - Anaphylaxis-Anaphylactoid reaction (can be fatal)",53025.0,Pneumotox_only,cefotetan,COC1(NC(O)=c2sc(=C(C(N)=O)C(=O)O)s2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21,0,0,0,0,,
Cefuroxime,"IV.c
                
IV - Airway involvement

                    IV.c - Obliterative bronchiolitis (a pattern consistent with) (see also IVn, XVx)                


                  IV.ai
                
IV - Airway involvement

                    IV.ai - Bronchiolitis obliterans, post-Stevens-Johnson",41375.0,Both,cefuroxime,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(N)=O)CSC12)c1ccco1,0,0,0,0,,
Cefuroxime axetil,"X.f
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.f - Anaphylaxis-Anaphylactoid reaction (can be fatal)                


                  XII.af
                
XII - Cardiovascular involvement / toxicity

                    XII.af - Coronary vasospasm - Vasospastic angina",5361467.0,Both,cefuroxime axetil,CON=C(C(=O)NC1C(=O)N2C(C(=O)OC(C)OC(C)=O)=C(COC(N)=O)CSC12)c1ccco1,0,0,0,0,,
Cisapride,"IV.a
                
IV - Airway involvement

                    IV.a - Bronchospasm - Wheezing - Asthma",6917698.0,Both,cisapride,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,0,0,0,0,,
Clenbuterol,"XI.b
                
XI - Miscellaneous

                    XI.b - Chest pain (acute or subacute), lone or prominent                


                  XI.d
                
XI - Miscellaneous

                    XI.d - Metabolic acidosis (incl. lactic acidosis/-gap). May cause hyperpnea/dyspnea                


                  XII.n
                
XII - Cardiovascular involvement / toxicity

                    XII.n - Cardiovascular collapse - Cardiogenic shock - Hypotension",2783.0,Pneumotox_only,clenbuterol,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,0,0,0,0,,
Clofarabine,"X.c
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.c - Capillary leak syndrome (CLS)",119182.0,Both,clofarabine,Nc1nc(Cl)nc2c1ncn2C1OC(CO)C(O)C1F,0,0,0,0,,
Clonazepam,"IX.d
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.d - Respiratory failure from ventilatory depression (due to neuromuscular blockade/paralysis)                


                  IX.i
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.i - Respiratory arrest - Apnea",2802.0,Both,clonazepam,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,0,0,0,0,,
Clonidine,"IX.d
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.d - Respiratory failure from ventilatory depression (due to neuromuscular blockade/paralysis)                


                  X.d
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.d - Lupus - Lupus syndrome (see also Vd)                


                  XII.e
                
XII - Cardiovascular involvement / toxicity

                    XII.e - Takotsubo (stress) cardiomyopathy",2803.0,Both,clonidine,Clc1cccc(Cl)c1NC1=NCCN1,0,0,0,0,,
Colistimethate,"IX.d
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.d - Respiratory failure from ventilatory depression (due to neuromuscular blockade/paralysis)                


                  IX.i
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.i - Respiratory arrest - Apnea",216258.0,Both,colistimethate,CCC(C)CCCCC(=O)NC(CCNCS(=O)(=O)[O-])C(=O)NC(C(=O)NC(CCNCS(=O)(=O)[O-])C(=O)NC1CCNC(=O)C(C(C)O)NC(=O)C(CCNCS(=O)(=O)[O-])NC(=O)C(CCNCS(=O)(=O)[O-])NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCNCS(=O)(=O)[O-])NC1=O)C(C)O,0,0,0,0,,
Cortisone,"XV.i
                
XV - Pathology

                    XV.i - Path: Pneumocyte atypia (reactive epithelial cells) (a.k.a. the ""Napoleon Hat"" sign)",5745.0,Both,cortisone,CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(=O)CC21C,0,0,0,0,,
Cyanide,"XI.d
                
XI - Miscellaneous

                    XI.d - Metabolic acidosis (incl. lactic acidosis/-gap). May cause hyperpnea/dyspnea                


                  XI.bi
                
XI - Miscellaneous

                    XI.bi - Cyanide poisoning",5975.0,Pneumotox_only,cyanide,[C-]#N,0,0,0,0,,
Cyclopropylfentanyl,"IX.d
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.d - Respiratory failure from ventilatory depression (due to neuromuscular blockade/paralysis)",137332271.0,Pneumotox_only,cyclopropylfentanyl,O=C(C1CC1)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,0,0,0,0,,
Dabrafenib,"X.k
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.k - Sarcoid-like granulomatosis (endo-/extrathoracic)                


                  X.ah
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.ah - Granulomatosis with polyangiitis (typically ANCA pos.) - GPA flare",44462760.0,Both,dabrafenib,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,0,0,0,0,,
Dasabuvir,,56640146.0,Both,dasabuvir,COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C,0,0,0,0,,
Daunorubicin,"XII.a
                
XII - Cardiovascular involvement / toxicity

                    XII.a - Left or biventricular dysfunction/failure                


                  XII.ai
                
XII - Cardiovascular involvement / toxicity

                    XII.ai - Cardiotoxicity",30323.0,Both,daunorubicin,COc1cccc2c(O)c3c(c(O)c12)C(=O)C1=C(CC(O)(C(C)=O)CC1OC1CC(N)C(O)C(C)O1)C3=O,0,0,0,0,,
Dexmedetomidine,"XII.af
                
XII - Cardiovascular involvement / toxicity

                    XII.af - Coronary vasospasm - Vasospastic angina",5311068.0,Both,dexmedetomidine,Cc1cccc(C(C)c2c[nH]cn2)c1C,0,0,0,0,,
Diacetylmorphine,"IX.d
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.d - Respiratory failure from ventilatory depression (due to neuromuscular blockade/paralysis)",5462328.0,Pneumotox_only,diacetylmorphine,CC(=O)Oc1ccc2c3c1OC1C(OC(C)=O)C=CC4C(C2)N(C)CCC341,0,0,0,0,,
Diazepam,"IX.d
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.d - Respiratory failure from ventilatory depression (due to neuromuscular blockade/paralysis)                


                  IX.i
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.i - Respiratory arrest - Apnea",3016.0,Both,diazepam,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0,0,0,0,,
Diethylene glycol,"IX.d
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.d - Respiratory failure from ventilatory depression (due to neuromuscular blockade/paralysis)                


                  XI.d
                
XI - Miscellaneous

                    XI.d - Metabolic acidosis (incl. lactic acidosis/-gap). May cause hyperpnea/dyspnea",8117.0,Pneumotox_only,diethylene glycol,OCCOCCO,0,0,0,0,,
Difenacoum,"III.c
                
III - Pulmonary/alveolar./airway hemorrhage/bleeding

                    III.c - Hemoptysis",54676884.0,Pneumotox_only,difenacoum,O=c1c(C2CC(c3ccc(-c4ccccc4)cc3)Cc3ccccc32)c(O)oc2ccccc12,0,0,0,0,,
Difluoroethane,"XI.s
                
XI - Miscellaneous

                    XI.s - Sniffing death - Death from inhalation of compound",6368.0,Pneumotox_only,difluoroethane,CC(F)F,0,0,0,0,,
Digoxin,"XII.bm
                
XII - Cardiovascular involvement / toxicity

                    XII.bm - Ventricular tachycardia",2724385.0,Both,digoxin,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,0,0,0,0,,
Dihydrocodeine,"IX.d
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.d - Respiratory failure from ventilatory depression (due to neuromuscular blockade/paralysis)",5284543.0,Both,dihydrocodeine,COc1ccc2c3c1OC1C(O)CCC4C(C2)N(C)CCC341,0,0,0,0,,
Dihydropyridine,"VIII.a
                
VIII - Central-large-upper airway (incl. pharyngeal-nasal) involvement

                    VIII.a - Angioedema (may cause UAO, asphyxia and death)                


                  X.f
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.f - Anaphylaxis-Anaphylactoid reaction (can be fatal)",407038.0,Pneumotox_only,dihydropyridine,C1=CCNC=C1,0,0,0,0,,
Dimethylaminoethanol,"IX.b
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.b - Respiratory dyskinesia",7902.0,Pneumotox_only,dimethylaminoethanol,CN(C)CCO,0,0,0,0,,
Dipyrone,"IV.a
                
IV - Airway involvement

                    IV.a - Bronchospasm - Wheezing - Asthma                


                  X.f
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.f - Anaphylaxis-Anaphylactoid reaction (can be fatal)                


                  X.g
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.g - Hypersensitivity reaction (may manifest with fever and/or skin, throat or airway involvement)",522325.0,Pneumotox_only,dipyrone,Cc1c(N(C)CS(=O)(=O)[O-])c(=O)n(-c2ccccc2)n1C,0,0,0,0,,
Distigmine,"IX.d
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.d - Respiratory failure from ventilatory depression (due to neuromuscular blockade/paralysis)",3116.0,Pneumotox_only,distigmine,CN(CCCCCCN(C)C(=O)Oc1ccc[n+](C)c1)C(=O)Oc1ccc[n+](C)c1,0,0,0,0,,
Dobutamine,"XII.h
                
XII - Cardiovascular involvement / toxicity

                    XII.h - Eosinophilic myocarditis",36811.0,Both,dobutamine,CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1,0,0,0,0,,
Dolasetron,"XII.t
                
XII - Cardiovascular involvement / toxicity

                    XII.t - Torsades de pointe",60654.0,Both,dolasetron,O=C(OC1CC2CC3CC(C1)N2CC3=O)c1c[nH]c2ccccc12,0,0,0,0,,
Dolutegravir,"X.an
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.an - Cytokine release syndrome - Cytokine storm                


                  XII.d
                
XII - Cardiovascular involvement / toxicity

                    XII.d - Myocarditis (can be fulminant)",46216142.0,Both,dolutegravir,CC1CCOC2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c([O-])c3C(=O)N12,0,0,0,0,,
Donepezil,"IX.f
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.f - Hiccup",3152.0,Both,donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,0,0,0,0,,
Doxycycline,"IV.a
                
IV - Airway involvement

                    IV.a - Bronchospasm - Wheezing - Asthma                


                  X.d
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.d - Lupus - Lupus syndrome (see also Vd)                


                  X.f
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.f - Anaphylaxis-Anaphylactoid reaction (can be fatal)                


                  X.g
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.g - Hypersensitivity reaction (may manifest with fever and/or skin, throat or airway involvement)                


                  X.o
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.o - Neutrophilic dermatosis (Pyoderma, Sweet syndrome)                


                  X.s
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.s - Vasculitis, pulmonary (w/wo AH), extrapulmonary, systemic: ANCA-positive                


                  XI.h
                
XI - Miscellaneous

                    XI.h - Esophageal pathology (erosion, ulcer, tear, rupture, fistula)",54671203.0,Both,doxycycline,CC1c2cccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21,0,0,0,0,,
Dronabinol,"XII.ah
                
XII - Cardiovascular involvement / toxicity

                    XII.ah - Tachycardia",16078.0,Both,dronabinol,CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CCC(C)=CC21,0,0,0,0,,
Droperidol,"IX.c
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.c - Chest wall muscle rigidity - Stiff/wooden chest",3168.0,Both,droperidol,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,0,0,0,0,,
