smiles,Drug_Name,Pattern,PubChem_ID,Source,norm,is_perfect_dups,indexes
CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1,Clomifen,"II.a
                
II - Pulmonary edema - Acute lung injury - ARDS

                    II.a - Pulmonary edema, noncardiogenic (NCPE)                


                  III.a
                
III - Pulmonary/alveolar./airway hemorrhage/bleeding

                    III.a - Alveolar hemorrhage (AH), diffuse AH (DAH)                


                  III.c
                
III - Pulmonary/alveolar./airway hemorrhage/bleeding

                    III.c - Hemoptysis                


                  III.i
                
III - Pulmonary/alveolar./airway hemorrhage/bleeding

                    III.i - Catamenial hemoptysis                


                  V.a
                
V - Pleural and/or pericardial involvement

                    V.a - Pleural effusion (uni- or bilateral) (can accompany DI-LDs)                


                  V.g
                
V - Pleural and/or pericardial involvement

                    V.g - Effusions of the ovarian hyperstimulation syndrome (OHSS)                


                  VI.a
                
VI - Pulmonary vasculopathies

                    VI.a - Pulmonary embolism - Venous thrombosis/thromboembolism                


                  XII.g
                
XII - Cardiovascular involvement / toxicity

                    XII.g - Coronary artery disease (acute) - Myocardial ischemia/infarction",2800,Pneumotox_only,clomifen,False,"[184, 1112]"
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,Cocaine,"I.c
                
I - Interstitial/parenchymal lung disease

                    I.c - Eosinophilic pneumonia (pulmonary infiltrates and eosinophilia)                


                  I.d
                
I - Interstitial/parenchymal lung disease

                    I.d - Organizing pneumonia pattern (an area or areas of consolidation on imaging)                


                  I.e
                
I - Interstitial/parenchymal lung disease

                    I.e - Acute eosinophilic pneumonia (AEP)                


                  I.t
                
I - Interstitial/parenchymal lung disease

                    I.t - Pneumoconiosis (silicosis, talcosis...)                


                  I.z
                
I - Interstitial/parenchymal lung disease

                    I.z - An area or areas of consolidation                


                  II.a
                
II - Pulmonary edema - Acute lung injury - ARDS

                    II.a - Pulmonary edema, noncardiogenic (NCPE)                


                  II.d
                
II - Pulmonary edema - Acute lung injury - ARDS

                    II.d - Pulmonary edema, cardiogenic                


                  III.a
                
III - Pulmonary/alveolar./airway hemorrhage/bleeding

                    III.a - Alveolar hemorrhage (AH), diffuse AH (DAH)                


                  III.b
                
III - Pulmonary/alveolar./airway hemorrhage/bleeding

                    III.b - Pneumorenal syndrome (w/wo ANCAs)                


                  III.c
                
III - Pulmonary/alveolar./airway hemorrhage/bleeding

                    III.c - Hemoptysis                


                  III.n
                
III - Pulmonary/alveolar./airway hemorrhage/bleeding

                    III.n - Alveolar hemorrhage (subclinical, or as a BAL feature)                


                  IV.a
                
IV - Airway involvement

                    IV.a - Bronchospasm - Wheezing - Asthma                


                  IV.f
                
IV - Airway involvement

                    IV.f - Severe or catastrophic bronchospasm or asthma attack (can be fatal)                


                  IV.o
                
IV - Airway involvement

                    IV.o - Airway hyperresponsiveness                


                  V.f
                
V - Pleural and/or pericardial involvement

                    V.f - Pneumothorax                


                  V.ab
                
V - Pleural and/or pericardial involvement

                    V.ab - Pneumothorax, bilateral                


                  VI.a
                
VI - Pulmonary vasculopathies

                    VI.a - Pulmonary embolism - Venous thrombosis/thromboembolism                


                  VI.b
                
VI - Pulmonary vasculopathies

                    VI.b - Pulmonary arterial hypertension                


                  VI.l
                
VI - Pulmonary vasculopathies

                    VI.l - Acute pulmonary vasoconstriction and PHT                


                  VII.h
                
VII - Mediastinal involvement

                    VII.h - Pneumomediastinum                


                  VIII.a
                
VIII - Central-large-upper airway (incl. pharyngeal-nasal) involvement

                    VIII.a - Angioedema (may cause UAO, asphyxia and death)                


                  VIII.c
                
VIII - Central-large-upper airway (incl. pharyngeal-nasal) involvement

                    VIII.c - Upper airway obstruction other than angioedema or hematoma                


                  VIII.i
                
VIII - Central-large-upper airway (incl. pharyngeal-nasal) involvement

                    VIII.i - Midline destructive lesions                


                  VIII.w
                
VIII - Central-large-upper airway (incl. pharyngeal-nasal) involvement

                    VIII.w - Uvulitis, uvular edema                


                  VIII.ah
                
VIII - Central-large-upper airway (incl. pharyngeal-nasal) involvement

                    VIII.ah - Tracheal polyps                


                  VIII.ai
                
VIII - Central-large-upper airway (incl. pharyngeal-nasal) involvement

                    VIII.ai - Nasal, palatal and/or pharyngeal pathology                


                  VIII.ak
                
VIII - Central-large-upper airway (incl. pharyngeal-nasal) involvement

                    VIII.ak - Rhinitis medicamentosa                


                  VIII.ap
                
VIII - Central-large-upper airway (incl. pharyngeal-nasal) involvement

                    VIII.ap - Airway foreign body                


                  IX.k
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.k - Trismus (lockjaw)                


                  IX.o
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.o - Pneumorachis                


                  X.f
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.f - Anaphylaxis-Anaphylactoid reaction (can be fatal)                


                  X.h
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.h - Eosinophilic granulomatosis with polyangiitis (Churg-Strauss)                


                  X.j
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.j - Myopathy-Myositis-Polymyositis (see also under Xba)                


                  X.m
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.m - Vascultis (pulmonary, extrathoracic or systemic)-ANCA status unknown or negative)                


                  X.o
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.o - Neutrophilic dermatosis (Pyoderma, Sweet syndrome)                


                  X.s
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.s - Vasculitis, pulmonary (w/wo AH), extrapulmonary, systemic: ANCA-positive                


                  X.u
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.u - Multiple organ dysfunction/failure (MODS/MOF)                


                  X.x
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.x - ANCA positivity. Subclinical or with clinical manifestations                


                  X.ac
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.ac - Anti-GBM antibody disease (Goodpasture-like or flare of preexisting GS)                


                  X.ad
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.ad - Skin purpura, ecchymoses or necrosis                


                  X.as
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.as - Scleroderma renal crisis                


                  XI.b
                
XI - Miscellaneous

                    XI.b - Chest pain (acute or subacute), lone or prominent                


                  XI.m
                
XI - Miscellaneous

                    XI.m - Pulmonary emphysema - Lung cysts or bullae                


                  XI.n
                
XI - Miscellaneous

                    XI.n - Neutropenia, agranulocytosis (w/wo infection/sepsis)                


                  XI.r
                
XI - Miscellaneous

                    XI.r - Death following exposure or poisoning                


                  XI.ae
                
XI - Miscellaneous

                    XI.ae - Barotrauma (incl. pneumothorax, pneumomediastinum, interstitial ephysema...)                


                  XI.az
                
XI - Miscellaneous

                    XI.az - Sneezing (may cause pulmonary barotrauma)                


                  XII.a
                
XII - Cardiovascular involvement / toxicity

                    XII.a - Left or biventricular dysfunction/failure                


                  XII.e
                
XII - Cardiovascular involvement / toxicity

                    XII.e - Takotsubo (stress) cardiomyopathy                


                  XII.f
                
XII - Cardiovascular involvement / toxicity

                    XII.f - Cardiomyopathy (acute, subacute, chronic)                


                  XII.g
                
XII - Cardiovascular involvement / toxicity

                    XII.g - Coronary artery disease (acute) - Myocardial ischemia/infarction                


                  XII.l
                
XII - Cardiovascular involvement / toxicity

                    XII.l - Cardiac arrhythmias or dysrhythmias (AF, VT, VF, TdP)                


                  XII.y
                
XII - Cardiovascular involvement / toxicity

                    XII.y - Pneumopericardium                


                  XII.ae
                
XII - Cardiovascular involvement / toxicity

                    XII.ae - Aortic dissection                


                  XII.af
                
XII - Cardiovascular involvement / toxicity

                    XII.af - Coronary vasospasm - Vasospastic angina                


                  XII.aj
                
XII - Cardiovascular involvement / toxicity

                    XII.aj - Systemic arterial thrombosis                


                  XII.ap
                
XII - Cardiovascular involvement / toxicity

                    XII.ap - Coronary artery dissection                


                  XIV.c
                
XIV - Hemoglobinopathies - Abnormal hemoglobin states (acquired)

                    XIV.c - Carboxyhemoglobinemia                


                  XV.b
                
XV - Pathology

                    XV.b - Path: Eosinophilic pneumonia (subacute or acute)  (see also Ic)                


                  XV.g
                
XV - Pathology

                    XV.g - Path: Alveolar hemorrhage (see also IIIa)                


                  XV.h
                
XV - Pathology

                    XV.h - Path: NSIP-fibrotic pattern                


                  XV.s
                
XV - Pathology

                    XV.s - Path: Pneumoconiosis (silicosis,  talcosis, talcoma)                


                  XV.w
                
XV - Pathology

                    XV.w - Path: Pulmonary edema (see also II/IIa)                


                  XV.aw
                
XV - Pathology

                    XV.aw - Path: Skin vasculopathy/vasculitis/fibrin thrombi                


                  XVI.k
                
XVI - Imaging

                    XVI.k - Imaging: An area or areas of consolidation                


                  XVII.b
                
XVII - Infections & related conditions

                    XVII.b - Opportunistic pulmonary/systemic infections",446220,Both,cocaine,False,"[190, 197]"
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,Coumadin,"VIII.b
                
VIII - Central-large-upper airway (incl. pharyngeal-nasal) involvement

                    VIII.b - Hematoma of/around central airway wall potentially causing UAO",54678486,Pneumotox_only,coumadin,False,"[196, 883]"
O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1,Cromoglycate,"I.b
                
I - Interstitial/parenchymal lung disease

                    I.b - Pneumonitis (ILD)                


                  I.c
                
I - Interstitial/parenchymal lung disease

                    I.c - Eosinophilic pneumonia (pulmonary infiltrates and eosinophilia)                


                  IV.f
                
IV - Airway involvement

                    IV.f - Severe or catastrophic bronchospasm or asthma attack (can be fatal)                


                  VI.k
                
VI - Pulmonary vasculopathies

                    VI.k - Eosinophilic pulmonary vasculitis",2882,Both,cromoglycate,False,"[199, 1129]"
CCNC(C)Cc1cccc(C(F)(F)F)c1,Dexfenfluramine,"VI.b
                
VI - Pulmonary vasculopathies

                    VI.b - Pulmonary arterial hypertension                


                  XII.b
                
XII - Cardiovascular involvement / toxicity

                    XII.b - Valvular heart disease and/or dysfunction",66265,Pneumotox_only,dexfenfluramine,False,"[222, 312]"
CC(N)Cc1ccccc1,Dextroamphetamine,"X.m
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.m - Vascultis (pulmonary, extrathoracic or systemic)-ANCA status unknown or negative)",5826,Both,dextroamphetamine,False,"[225, 954]"
OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,Dipyridamole,"II.a
                
II - Pulmonary edema - Acute lung injury - ARDS

                    II.a - Pulmonary edema, noncardiogenic (NCPE)                


                  IV.a
                
IV - Airway involvement

                    IV.a - Bronchospasm - Wheezing - Asthma                


                  IV.b
                
IV - Airway involvement

                    IV.b - Bronchospasm and angioedema                


                  IV.f
                
IV - Airway involvement

                    IV.f - Severe or catastrophic bronchospasm or asthma attack (can be fatal)                


                  IX.d
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.d - Respiratory failure from ventilatory depression (due to neuromuscular blockade/paralysis)                


                  IX.i
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.i - Respiratory arrest - Apnea                


                  X.f
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.f - Anaphylaxis-Anaphylactoid reaction (can be fatal)                


                  XII.e
                
XII - Cardiovascular involvement / toxicity

                    XII.e - Takotsubo (stress) cardiomyopathy                


                  XII.m
                
XII - Cardiovascular involvement / toxicity

                    XII.m - Cardiac- cardiorespiratory/pulmonary arrest                


                  XII.n
                
XII - Cardiovascular involvement / toxicity

                    XII.n - Cardiovascular collapse - Cardiogenic shock - Hypotension",3108,Both,dipyridamole,False,"[247, 1191]"
CNC(C)C(O)c1ccccc1,Ephedrine,"XII.f
                
XII - Cardiovascular involvement / toxicity

                    XII.f - Cardiomyopathy (acute, subacute, chronic)",9294,Both,ephedrine,False,"[277, 694, 884]"
CCCCCC(O)C=CC1C(O)CC2OC(=CCCCC(=O)O)CC21,Epoprostenol,"I.b
                
I - Interstitial/parenchymal lung disease

                    I.b - Pneumonitis (ILD)                


                  II.a
                
II - Pulmonary edema - Acute lung injury - ARDS

                    II.a - Pulmonary edema, noncardiogenic (NCPE)                


                  II.f
                
II - Pulmonary edema - Acute lung injury - ARDS

                    II.f - Hypoxemia, low oxygen saturation (may occur in isolation)                


                  III.a
                
III - Pulmonary/alveolar./airway hemorrhage/bleeding

                    III.a - Alveolar hemorrhage (AH), diffuse AH (DAH)                


                  XII.n
                
XII - Cardiovascular involvement / toxicity

                    XII.n - Cardiovascular collapse - Cardiogenic shock - Hypotension",5282411,Both,epoprostenol,False,"[279, 691]"
CC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,Ergometrine,"II.a
                
II - Pulmonary edema - Acute lung injury - ARDS

                    II.a - Pulmonary edema, noncardiogenic (NCPE)                


                  III.a
                
III - Pulmonary/alveolar./airway hemorrhage/bleeding

                    III.a - Alveolar hemorrhage (AH), diffuse AH (DAH)                


                  IV.a
                
IV - Airway involvement

                    IV.a - Bronchospasm - Wheezing - Asthma",443884,Pneumotox_only,ergometrine,False,"[283, 284]"
COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,Esomeprazole,"VIII.e
                
VIII - Central-large-upper airway (incl. pharyngeal-nasal) involvement

                    VIII.e - Laryngospasm (a.k.a. laryngismus)",9568614,Both,esomeprazole,False,"[293, 590]"
OCCO,Ethylene glycol,"XI.d
                
XI - Miscellaneous

                    XI.d - Metabolic acidosis (incl. lactic acidosis/-gap). May cause hyperpnea/dyspnea                


                  XXV.a
                
XXV - Poisoning by proxy

                    XXV.a - By proxy: metabolic acidosis",174,Pneumotox_only,ethylene glycol,False,"[298, 1707]"
Nc1ccncc1,Fampridine,"VI.b
                
VI - Pulmonary vasculopathies

                    VI.b - Pulmonary arterial hypertension",1727,Pneumotox_only,fampridine,False,"[308, 1141]"
O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,Flecaine,,3356,Pneumotox_only,flecaine,False,"[322, 323]"
Nc1nc2c(c(=O)[nH]1)N(C=O)C(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CN2,Folinic acid,"IV.b
                
IV - Airway involvement

                    IV.b - Bronchospasm and angioedema                


                  X.f
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.f - Anaphylaxis-Anaphylactoid reaction (can be fatal)",135403648,Pneumotox_only,folinic acid,False,"[338, 448, 1464, 1477]"
CC(=O)OC1CC2(C)C(CC(O)C3C4(C)CCC(O)C(C)C4CCC32C)C1=C(CCC=C(C)C)C(=O)O,Fucidic acid,"IV.a
                
IV - Airway involvement

                    IV.a - Bronchospasm - Wheezing - Asthma                


                  X.f
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.f - Anaphylaxis-Anaphylactoid reaction (can be fatal)",3000226,Pneumotox_only,fucidic acid,False,"[343, 1332]"
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,Glibenclamide,"I.b
                
I - Interstitial/parenchymal lung disease

                    I.b - Pneumonitis (ILD)",3488,Pneumotox_only,glibenclamide,False,"[357, 1360]"
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,Isotretinoin,"I.c
                
I - Interstitial/parenchymal lung disease

                    I.c - Eosinophilic pneumonia (pulmonary infiltrates and eosinophilia)                


                  I.e
                
I - Interstitial/parenchymal lung disease

                    I.e - Acute eosinophilic pneumonia (AEP)                


                  IV.a
                
IV - Airway involvement

                    IV.a - Bronchospasm - Wheezing - Asthma                


                  V.b
                
V - Pleural and/or pericardial involvement

                    V.b - Eosinophilic pleural effusion                


                  XI.i
                
XI - Miscellaneous

                    XI.i - Esophageal toxicity",5282379,Both,isotretinoin,False,"[418, 935, 1889]"
CNC1(c2ccccc2Cl)CCCCC1=O,Ketamine,"II.a
                
II - Pulmonary edema - Acute lung injury - ARDS

                    II.a - Pulmonary edema, noncardiogenic (NCPE)                


                  II.d
                
II - Pulmonary edema - Acute lung injury - ARDS

                    II.d - Pulmonary edema, cardiogenic                


                  II.f
                
II - Pulmonary edema - Acute lung injury - ARDS

                    II.f - Hypoxemia, low oxygen saturation (may occur in isolation)                


                  II.i
                
II - Pulmonary edema - Acute lung injury - ARDS

                    II.i - Flash (fulminate) pulmonary edema                


                  IV.a
                
IV - Airway involvement

                    IV.a - Bronchospasm - Wheezing - Asthma                


                  VIII.e
                
VIII - Central-large-upper airway (incl. pharyngeal-nasal) involvement

                    VIII.e - Laryngospasm (a.k.a. laryngismus)                


                  IX.d
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.d - Respiratory failure from ventilatory depression (due to neuromuscular blockade/paralysis)                


                  X.f
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.f - Anaphylaxis-Anaphylactoid reaction (can be fatal)                


                  XI.b
                
XI - Miscellaneous

                    XI.b - Chest pain (acute or subacute), lone or prominent",3821,Both,ketamine,False,"[423, 1249]"
Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1,Lansoprazole,"I.b
                
I - Interstitial/parenchymal lung disease

                    I.b - Pneumonitis (ILD)                


                  IV.a
                
IV - Airway involvement

                    IV.a - Bronchospasm - Wheezing - Asthma                


                  IV.v
                
IV - Airway involvement

                    IV.v - Deterioration/exacerbation of preexisting asthma or COPD                


                  XVII.a
                
XVII - Infections & related conditions

                    XVII.a - Respiratory tract infection incl. pneumonia",3883,Both,lansoprazole,False,"[433, 1169]"
CCC(C)C1NC(=O)C2CSSCC(NC(=O)C(CC(C)C)NC(=O)C3CSSCC(NC(=O)C(CC(=O)O)NC(=O)C(NC(=O)C(Cc4ccc(O)cc4)NC(=O)C(NC(=O)C(N)CC(C)C)C(C)O)C(C)O)C(=O)NC(C(C)O)C(=O)NC(CCC(=O)O)C(=O)NC(CO)C(=O)NCC(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)NC(CC(C)C)C(=O)N3)C(=O)NC(CCC(=O)O)C(=O)NCC(=O)NC(CO)C(=O)NC(CC(N)=O)C(=O)NC(C(C)C)C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)NC(CCC(=O)O)C(=O)NCC(=O)NC(C(=O)N3CCCC3C(=O)NC(CCCCN)C(=O)N3CCCC3C(=O)NC(CCC(N)=O)C(=O)NC(CO)C(=O)NC(Cc3c[nH]cn3)C(=O)NC(CC(N)=O)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NC(Cc3ccccc3)C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(C(=O)N3CCCC3C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(Cc3ccc(O)cc3)C(=O)NC(CC(C)C)C(=O)NC(CCC(N)=O)C(=O)O)C(C)CC)C(C)O)C(C)O)C(C)C)NC(=O)C(CCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(CCCCN)NC(=O)C(CCC(=O)O)NC(=O)CNC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)CNC(=O)C(CC(C)C)NC1=O)C(=O)NCC(=O)NC(CCC(N)=O)C(=O)NCC(=O)NC(CC(N)=O)C(=O)NC(CCCCN)C(=O)N2,Lepirudin,"X.f
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.f - Anaphylaxis-Anaphylactoid reaction (can be fatal)",118856773,Pneumotox_only,lepirudin,False,"[442, 1737]"
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,Levalbuterol,"IV.a
                
IV - Airway involvement

                    IV.a - Bronchospasm - Wheezing - Asthma",123600,Both,levalbuterol,False,"[444, 927]"
c1ccc(C2CN3CCSC3=N2)cc1,Levamisole,"III.a
                
III - Pulmonary/alveolar./airway hemorrhage/bleeding

                    III.a - Alveolar hemorrhage (AH), diffuse AH (DAH)                


                  III.d
                
III - Pulmonary/alveolar./airway hemorrhage/bleeding

                    III.d - Alveolar hemorrhage, diffuse (ANCA-positive/-related)                


                  VI.b
                
VI - Pulmonary vasculopathies

                    VI.b - Pulmonary arterial hypertension                


                  IX.t
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.t - CNS involvement/dysfunction/damage                


                  X.b
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.b - Antiphospholipid antibodies w/wo the APL syndrome                


                  X.j
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.j - Myopathy-Myositis-Polymyositis (see also under Xba)                


                  X.m
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.m - Vascultis (pulmonary, extrathoracic or systemic)-ANCA status unknown or negative)                


                  X.s
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.s - Vasculitis, pulmonary (w/wo AH), extrapulmonary, systemic: ANCA-positive                


                  X.ad
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.ad - Skin purpura, ecchymoses or necrosis                


                  X.ak
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.ak - Dual MPO-/PR3-ANCA systemic disease/vasculitis/pseudovasculitis                


                  XI.n
                
XI - Miscellaneous

                    XI.n - Neutropenia, agranulocytosis (w/wo infection/sepsis)                


                  XII.g
                
XII - Cardiovascular involvement / toxicity

                    XII.g - Coronary artery disease (acute) - Myocardial ischemia/infarction                


                  XV.al
                
XV - Pathology

                    XV.al - Path: Pulmonary hypertension incl. angiomatoid vasculopathy                


                  XV.aw
                
XV - Pathology

                    XV.aw - Path: Skin vasculopathy/vasculitis/fibrin thrombi                


                  XVIII.t
                
XVIII - Distinctive patterns - 'Eye-catchers'

                    XVIII.t - Eye catcher: Purpuric/Ecchymotic/Cyanotic lesions of the earlobes and/or nose",26879,Pneumotox_only,levamisole,False,"[445, 817]"
